ensembl_id,gene_symbol,entrez_id,log2FoldChange,pvalue,padj,sig
ENSG00000276462,LOC440896,440896,5.701317928,5.53e-13,1.9e-11,Up
ENSG00000243811,APOBEC3D,140564,1.902041243,5.8e-13,1.98e-11,Up
ENSG00000198833,UBE2J1,51465,1.114309556,5.8e-13,1.98e-11,Up
ENSG00000143643,TTC13,79573,1.057999695,5.92e-13,2.02e-11,Up
ENSG00000115091,ACTR3,10096,1.245601267,5.99e-13,2.04e-11,Up
ENSG00000127824,TUBA4A,7277,1.69302954,6.02e-13,2.05e-11,Up
ENSG00000174885,NLRP6,171389,3.79178304,6.02e-13,2.05e-11,Up
ENSG00000106327,TFR2,7036,2.156246474,6.19e-13,2.1e-11,Up
ENSG00000117586,TNFSF4,7292,1.33407071,6.2e-13,2.1e-11,Up
ENSG00000180644,PRF1,5551,1.977739336,6.82e-13,2.3e-11,Up
ENSG00000104856,RELB,5971,1.599423807,6.88e-13,2.32e-11,Up
ENSG00000224137,LINC01857,102724714,5.695531964,6.97e-13,2.34e-11,Up
ENSG00000163808,KIF15,56992,3.029623911,7.12e-13,2.39e-11,Up
ENSG00000213420,GPC2,221914,2.112837886,7.19e-13,2.41e-11,Up
ENSG00000102575,ACP5,54,2.106236156,7.22e-13,2.41e-11,Up
ENSG00000143815,LBR,3930,1.763003065,7.24e-13,2.42e-11,Up
ENSG00000151790,TDO2,6999,3.5458281,7.34e-13,2.45e-11,Up
ENSG00000115355,CCDC88A,55704,1.26439082,7.52e-13,2.5e-11,Up
ENSG00000231752,EMBP1,647121,2.78635921,8.06e-13,2.67e-11,Up
ENSG00000196329,GIMAP5,55340,1.757167724,8.22e-13,2.72e-11,Up
ENSG00000164938,TP53INP1,94241,1.648253552,8.44e-13,2.78e-11,Up
ENSG00000277632,CCL3,6348,2.498142081,8.66e-13,2.85e-11,Up
ENSG00000238121,LINC00426,100188949,3.154215029,9.04e-13,2.96e-11,Up
ENSG00000197646,PDCD1LG2,80380,2.237106471,9.09e-13,2.97e-11,Up
ENSG00000101842,VSIG1,340547,2.643788305,9.11e-13,2.98e-11,Up
ENSG00000169403,PTAFR,5724,1.706262675,9.27e-13,3.02e-11,Up
ENSG00000158473,CD1D,912,1.321805543,9.85e-13,3.2e-11,Up
ENSG00000135077,HAVCR2,84868,2.703827225,9.9e-13,3.21e-11,Up
ENSG00000086288,NME8,51314,2.071817168,9.96e-13,3.22e-11,Up
ENSG00000196358,NTNG2,84628,2.288258516,1.01e-12,3.25e-11,Up
ENSG00000225614,ZNF469,84627,2.123278192,1.02e-12,3.28e-11,Up
ENSG00000131979,GCH1,2643,1.865720964,1.02e-12,3.29e-11,Up
ENSG00000178860,MSC,9242,1.304808207,1.04e-12,3.33e-11,Up
ENSG00000164038,SLC9B2,133308,1.411234045,1.08e-12,3.44e-11,Up
ENSG00000185215,TNFAIP2,7127,1.770534977,1.08e-12,3.44e-11,Up
ENSG00000135362,PRR5L,79899,1.349672721,1.08e-12,3.44e-11,Up
ENSG00000167083,GNGT2,2793,1.830183955,1.12e-12,3.57e-11,Up
ENSG00000230006,ANKRD36BP2,645784,4.413293317,1.16e-12,3.66e-11,Up
ENSG00000204592,HLA-E,3133,1.094611981,1.18e-12,3.73e-11,Up
ENSG00000169554,ZEB2,9839,1.127888588,1.18e-12,3.73e-11,Up
ENSG00000110395,CBL,867,1.256591478,1.21e-12,3.81e-11,Up
ENSG00000141574,SECTM1,6398,2.386136187,1.22e-12,3.83e-11,Up
ENSG00000005020,SKAP2,8935,1.146498541,1.24e-12,3.9e-11,Up
ENSG00000198915,RASGEF1A,221002,1.490653493,1.26e-12,3.95e-11,Up
ENSG00000163466,ARPC2,10109,1.053581677,1.28e-12,4e-11,Up
ENSG00000005513,SOX8,30812,2.331945328,1.28e-12,4.01e-11,Up
ENSG00000164440,TXLNB,167838,2.408676132,1.29e-12,4.02e-11,Up
ENSG00000162924,REL,5966,1.251615831,1.35e-12,4.2e-11,Up
ENSG00000160712,IL6R,3570,1.989075623,1.38e-12,4.27e-11,Up
ENSG00000100985,MMP9,4318,3.102074749,1.43e-12,4.42e-11,Up
ENSG00000000938,FGR,2268,1.892551791,1.49e-12,4.59e-11,Up
ENSG00000118513,MYB,4602,3.007668902,1.49e-12,4.6e-11,Up
ENSG00000226777,FAM30A,9834,5.7810318,1.5e-12,4.6e-11,Up
ENSG00000184445,KNTC1,9735,2.009541705,1.52e-12,4.65e-11,Up
ENSG00000095951,HIVEP1,3096,1.132374231,1.53e-12,4.69e-11,Up
ENSG00000188511,C22orf34,348645,1.661837074,1.53e-12,4.69e-11,Up
ENSG00000139899,CBLN3,643866,1.25064179,1.59e-12,4.83e-11,Up
ENSG00000124151,NCOA3,8202,1.302076105,1.59e-12,4.84e-11,Up
ENSG00000090104,RGS1,5996,3.23730191,1.6e-12,4.85e-11,Up
ENSG00000177675,CD163L1,283316,2.158908758,1.64e-12,4.97e-11,Up
ENSG00000140749,IGSF6,10261,2.008082716,1.7e-12,5.16e-11,Up
ENSG00000204472,AIF1,199,2.040662632,1.72e-12,5.21e-11,Up
ENSG00000125347,IRF1,3659,1.794433631,1.72e-12,5.21e-11,Up
ENSG00000129534,MIS18BP1,55320,1.22922918,1.74e-12,5.25e-11,Up
